0,31,12,32,49,14,21,51,20,11,31,54,30,11,40,55,39,31,21,32,30,32,40,23,12,39,11,9,50,59,48,images\COVID-269
1,34,7,34,44,14,16,54,16,10,25,57,26,8,34,58,35,34,16,34,26,34,35,26,7,42,7,7,44,60,44,images\COVID-2848
2,32,4,30,60,4,17,60,18,1,31,63,32,1,45,63,46,31,18,31,32,31,46,22,3,42,4,1,59,62,60,images\COVID-369
3,31,8,33,44,11,18,49,16,7,28,54,24,5,37,56,33,31,17,32,26,32,35,20,9,35,8,4,46,58,42,images\COVID-1387
4,31,2,31,53,14,15,48,15,13,28,49,28,13,41,50,40,31,15,31,28,31,41,24,2,38,2,12,53,52,53,images\COVID-3333
5,29,7,31,54,8,19,51,18,4,31,56,29,4,43,57,41,30,19,30,30,30,42,18,7,40,6,6,55,60,53,images\COVID-1405
6,32,5,32,58,7,18,56,18,5,32,57,31,5,45,58,45,32,18,32,32,32,45,24,5,40,5,5,59,60,58,images\COVID-1139
7,31,8,30,57,10,20,50,20,6,32,53,32,3,44,56,44,30,20,30,32,30,44,22,8,38,8,1,56,57,57,images\COVID-1476
8,34,8,33,50,16,18,51,19,14,29,53,29,13,39,54,40,34,19,34,29,34,39,26,8,42,9,12,49,54,50,images\COVID-3519
9,31,10,31,46,14,19,49,20,11,28,51,28,9,36,53,37,31,19,31,28,31,37,23,10,39,11,9,45,53,46,images\COVID-2474
10,33,9,33,46,13,18,52,18,11,27,54,27,10,36,55,36,33,18,33,27,33,36,25,9,40,9,9,46,55,45,images\COVID-3512
11,34,10,36,41,18,18,51,16,15,26,54,24,15,34,54,32,34,18,35,25,35,33,26,10,42,9,16,42,55,40,images\COVID-3039
12,31,1,31,49,14,13,49,13,11,25,53,25,10,37,54,37,31,13,31,25,31,37,23,1,39,1,9,49,57,50,images\COVID-80
13,32,3,33,37,16,11,49,11,14,20,52,20,13,28,53,28,32,11,32,20,33,28,24,3,39,3,11,37,54,37,images\COVID-855
14,31,12,31,63,10,25,52,24,8,38,54,37,7,50,57,50,31,25,31,37,31,50,23,12,39,12,6,63,59,62,images\COVID-1422
15,34,7,34,50,14,18,53,17,11,29,56,28,9,40,57,39,34,18,34,28,34,39,26,7,42,7,6,50,60,50,images\COVID-1697
16,34,5,34,39,19,13,51,13,16,22,54,22,14,30,55,30,34,13,34,22,34,30,26,5,42,5,12,38,57,39,images\COVID-3380
17,37,5,37,51,14,17,59,16,11,28,62,28,9,40,63,39,37,17,37,28,37,40,26,5,47,5,8,52,63,51,images\COVID-3363
18,28,9,34,48,17,21,44,17,14,31,47,26,14,41,49,36,29,19,31,29,32,38,23,10,33,8,14,51,51,45,images\COVID-3031
19,40,4,38,38,21,12,57,13,18,20,60,22,16,28,61,30,39,12,39,21,38,29,32,4,48,4,15,37,60,38,images\COVID-2169
20,31,3,32,53,13,15,49,15,10,28,54,28,8,41,56,40,31,15,31,28,31,40,24,3,38,3,8,53,56,53,images\COVID-103
21,40,18,37,57,18,26,58,29,15,35,61,39,14,45,63,49,40,28,39,37,38,47,32,17,48,19,13,54,62,59,images\COVID-162
22,36,10,36,39,19,17,56,18,15,24,58,25,14,32,59,32,36,17,36,25,36,32,28,10,44,10,12,39,62,40,images\COVID-1502
23,31,12,35,59,11,26,52,22,9,37,55,34,8,49,58,45,32,24,33,35,34,47,23,13,39,12,6,61,58,57,images\COVID-1560
24,35,7,35,43,16,16,52,16,14,24,54,25,12,33,55,34,35,16,35,25,35,34,27,7,43,7,10,42,57,43,images\COVID-3329
25,34,6,36,50,14,18,56,16,11,29,59,27,9,40,62,38,35,17,35,28,36,39,26,7,42,6,9,50,63,49,images\COVID-3602
26,34,8,36,48,21,19,50,18,16,29,54,27,14,39,57,37,34,18,35,28,35,38,28,9,40,8,12,48,60,47,images\COVID-3296
27,31,4,32,39,11,13,50,12,9,21,53,21,8,30,53,30,31,12,31,21,31,30,23,4,39,4,8,39,54,38,images\COVID-1051
28,35,4,37,46,20,15,52,14,18,26,54,24,17,36,55,35,36,14,36,25,37,36,27,4,43,4,14,47,58,45,images\COVID-2834
29,29,8,32,43,14,18,47,15,12,27,49,24,12,35,50,32,30,16,31,25,31,34,22,8,36,7,10,44,52,41,images\COVID-2459
30,33,10,33,50,12,20,52,20,9,30,55,30,7,40,57,40,33,20,33,30,33,40,22,10,41,10,3,50,60,50,images\COVID-352
