0,1,2
1,1,18
2,1,35
3,1,54
4,1,73
5,1,80
6,1,94
7,1,100
8,1,103
9,1,106
10,1,140
11,1,148
12,1,162
13,1,192
14,1,194
15,1,207
16,1,231
17,1,269
18,1,292
19,1,308
20,1,334
21,1,352
22,1,369
23,1,403
24,1,421
25,1,428
26,1,443
27,1,449
28,1,477
29,1,498
30,1,500
31,1,526
32,1,564
33,1,567
34,1,575
35,1,584
36,1,605
37,1,624
38,1,642
39,1,670
40,1,709
41,1,720
42,1,726
43,1,727
44,1,738
45,1,782
46,1,799
47,1,824
48,1,841
49,1,847
50,1,855
51,1,881
52,1,902
53,1,914
54,1,947
55,1,969
56,1,972
57,1,979
58,1,989
59,1,998
60,1,1028
61,1,1031
62,1,1051
63,1,1066
64,1,1088
65,1,1103
66,1,1104
67,1,1137
68,1,1139
69,1,1143
70,1,1159
71,1,1233
72,1,1238
73,1,1248
74,1,1258
75,1,1268
76,1,1313
77,1,1328
78,1,1387
79,1,1397
80,1,1405
81,1,1422
82,1,1453
83,1,1454
84,1,1476
85,1,1498
86,1,1502
87,1,1505
88,1,1515
89,1,1522
90,1,1533
91,1,1540
92,1,1550
93,1,1558
94,1,1559
95,1,1560
96,1,1589
97,1,1591
98,1,1653
99,1,1656
100,1,1671
101,1,1678
102,1,1697
103,1,1727
104,1,1733
105,1,1751
106,1,1753
107,1,1785
108,1,1803
109,1,1814
110,1,1818
111,1,1823
112,1,1843
113,1,1886
114,1,1907
115,1,1935
116,1,1943
117,1,1953
118,1,1970
119,1,2023
120,1,2025
121,1,2046
122,1,2068
123,1,2072
124,1,2077
125,1,2078
126,1,2112
127,1,2169
128,1,2174
129,1,2217
130,1,2238
131,1,2242
132,1,2243
133,1,2251
134,1,2255
135,1,2259
136,1,2281
137,1,2287
138,1,2292
139,1,2358
140,1,2400
141,1,2426
142,1,2457
143,1,2459
144,1,2474
145,1,2496
146,1,2504
147,1,2527
148,1,2536
149,1,2542
150,1,2576
151,1,2594
152,1,2606
153,1,2616
154,1,2638
155,1,2657
156,1,2705
157,1,2725
158,1,2793
159,1,2829
160,1,2834
161,1,2848
162,1,2887
163,1,2913
164,1,2933
165,1,2948
166,1,2977
167,1,3003
168,1,3031
169,1,3039
170,1,3087
171,1,3090
172,1,3095
173,1,3099
174,1,3130
175,1,3136
176,1,3154
177,1,3200
